Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.AdapterPattern\DesignPatterns.AdapterPattern.csproj,File,DesignPatterns.AdapterPattern\DesignPatterns.AdapterPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DesignPatterns.AdapterPattern\DesignPatterns.AdapterPattern.csproj,File,DesignPatterns.AdapterPattern\Adapter.cs,18,16,T:System.Xml.Serialization.XmlSerializer,,,,,var serializer = new XmlSerializer(typeof(Employee));
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.BridgePattern\DesignPatterns.BridgePattern.csproj,File,DesignPatterns.BridgePattern\DesignPatterns.BridgePattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.BuilderPattern\DesignPatterns.BuilderPattern.csproj,File,DesignPatterns.BuilderPattern\DesignPatterns.BuilderPattern.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.ChainOfResponsibilityPattern\DesignPatterns.ChainOfResponsibilityPattern.csproj,File,DesignPatterns.ChainOfResponsibilityPattern\DesignPatterns.ChainOfResponsibilityPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.CommandPattern\DesignPatterns.CommandPattern.csproj,File,DesignPatterns.CommandPattern\DesignPatterns.CommandPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.CompositePattern\DesignPatterns.CompositePattern.csproj,File,DesignPatterns.CompositePattern\DesignPatterns.CompositePattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.DecoratorPattern\DesignPatterns.DecoratorPattern.csproj,File,DesignPatterns.DecoratorPattern\DesignPatterns.DecoratorPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.FacadePattern\DesignPatterns.FacadePattern.csproj,File,DesignPatterns.FacadePattern\DesignPatterns.FacadePattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FactoryMethod\DesignPatterns.FactoryMethod.csproj,File,FactoryMethod\DesignPatterns.FactoryMethod.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.FlyWeightPattern\DesignPatterns.FlyWeightPattern.csproj,File,DesignPatterns.FlyWeightPattern\DesignPatterns.FlyWeightPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.IteratorPattern\DesignPatterns.IteratorPattern.csproj,File,DesignPatterns.IteratorPattern\DesignPatterns.IteratorPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.MediatorPattern\DesignPatterns.MediatorPattern.csproj,File,DesignPatterns.MediatorPattern\DesignPatterns.MediatorPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.MementoPattern\DesignPatterns.MementoPattern.csproj,File,DesignPatterns.MementoPattern\DesignPatterns.MementoPattern.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.ObserverPattern\DesignPatterns.ObserverPattern.csproj,File,DesignPatterns.ObserverPattern\DesignPatterns.ObserverPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.ProxyPattern\DesignPatterns.ProxyPattern.csproj,File,DesignPatterns.ProxyPattern\DesignPatterns.ProxyPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.Singleton\DesignPatterns.Singleton.csproj,File,DesignPatterns.Singleton\DesignPatterns.Singleton.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.StatePattern\DesignPatterns.StatePattern.csproj,File,DesignPatterns.StatePattern\DesignPatterns.StatePattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.StrategyPattern\DesignPatterns.StrategyPattern.csproj,File,DesignPatterns.StrategyPattern\DesignPatterns.StrategyPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.TemplateMethodPattern\DesignPatterns.TemplateMethodPattern.csproj,File,DesignPatterns.TemplateMethodPattern\DesignPatterns.TemplateMethodPattern.csproj,,,,,,,,Current target framework: netcoreapp3.1 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DesignPatterns.VisitorPattern\DesignPatterns.VisitorPattern.csproj,File,DesignPatterns.VisitorPattern\DesignPatterns.VisitorPattern.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DRY.Library\DRY.Library.csproj,File,DRY.Library\DRY.Library.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DRY.Library\DRY.Library.csproj,File,DRY.Library\DRY.Library.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DRY.TestProject\DRY.TestProject.csproj,File,DRY.TestProject\DRY.TestProject.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DRY.TestProject\DRY.TestProject.csproj,File,DRY.TestProject\DRY.TestProject.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0"
